"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:6MfOFYmw1TD9QDFSu0TEN1","Every Grain of Sand","Bob Dylan","Bob Dylan","1981-08-12","https://i.scdn.co/image/ab67616d0000b273fad6a06dba0f637726d5022b","https://p.scdn.co/mp3-preview/e505441ee95ca03093bcb0af5b3b9dd5e1dd79d5?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7smhePUsYwiUS3rz1EdyAc","A Man Without Love","Engelbert Humperdinck","Engelbert Humperdinck","1974-01-01","https://i.scdn.co/image/ab67616d0000b273409c0aafb0d741cdb7f9f197","https://p.scdn.co/mp3-preview/deb65736d67a6dd054022a7ca01033180c159095?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0OBCpAflcJzq5C6Y2wXe3D","Wake Me Up Before You Go-Go","Wham!","George Michael, Wham!","2019-11-08","https://i.scdn.co/image/ab67616d0000b27380619aadf960d102f987c900","https://p.scdn.co/mp3-preview/b34f9638f57e11a7c643609bbec15f762d151ea2?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2nCZs15rSShxeRBzBp6eLO","Bahlam Maak","Najat Al Saghira","Najat Al Saghira","1979-12-31","https://i.scdn.co/image/ab67616d0000b27355dfe825df4bfd51d13d7f15","https://p.scdn.co/mp3-preview/8305b4ac5e0b0415a9d417bf77b08ba8b951460d?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5EhI8pJIJzUDnTlCLr3kL9","Bela Lugosi's Dead","Bauhaus","Bauhaus","1986-05-01","https://i.scdn.co/image/ab67616d0000b273e468c5b1e7cf6ac4e4970576","https://p.scdn.co/mp3-preview/d0c7e637c8d12f7f382a0e69442a2921b31794f8?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:04vHPXVGnb51q13NBoW22W","El Melouk","Ahmed Saad, 3enba, Double Zuksh","Ahmed Saad, 3enba, Double Zuksh","2021-06-23","https://i.scdn.co/image/ab67616d0000b273abf9a269b9e35b869d0223b7","https://p.scdn.co/mp3-preview/82a909e193b380fcd6402bd9f61df3c13c10384e?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1mRSA7bk3iEvAyKLXHL7bi","Enta","DJ KABOO","DJ KABOO","2020-05-17","https://i.scdn.co/image/ab67616d0000b273f07e95340dad62fd147c51a5","https://p.scdn.co/mp3-preview/f438a37c4c64c8a7a69d9c06391abef455cf6365?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2A4xTe1uOdRKKJUyilAqrF","Batwanes Beek","Warda","Warda","1991-12-31","https://i.scdn.co/image/ab67616d0000b273a1582c880c8937fe2e168652","https://p.scdn.co/mp3-preview/a941ac3b20685aef7dea91afe8f62b9d1dd9aed4?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7IGUv8x8NzGbCsDp9F4G2J","Shaghalouny","Abdel Halim Hafez","Abdel Halim Hafez","1975-12-31","https://i.scdn.co/image/ab67616d0000b273da9037e45a2f10e5bdd512de","https://p.scdn.co/mp3-preview/fbcdbcd87f32008a3b1de4cb970e26ff659e63bb?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:31YxrDJGTuKmso1z7mPWJ8","Salka","Hassan Shakosh, Wegz","Hassan Shakosh","2020-10-24","https://i.scdn.co/image/ab67616d0000b273af841ecd60a22332b0d8da50","https://p.scdn.co/mp3-preview/3d6a813fa5c7245a488c71c1578072def82ebf23?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7o2CTH4ctstm8TNelqjb51","Sweet Child O' Mine","Guns N' Roses","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60","https://p.scdn.co/mp3-preview/a941cdd2c0c74206aaa6d7e459e4fdf1d738deaa?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2NsVF7wa0UrKCr1wsO4RE6","Walima","Tito Rinesi","Tito Rinesi","2016-08-02","https://i.scdn.co/image/ab67616d0000b273f7c547bc27985b5ef8997d58","https://p.scdn.co/mp3-preview/d15cb91aa37a510840ef0eb6c26cf26bea526b31?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6roSk1FMGCbYAJhLXhyCeA","Saat Saat","Sabah","Sabah","1977-01-01","https://i.scdn.co/image/ab67616d0000b273543ab8f21aaacaabefdd3339","https://p.scdn.co/mp3-preview/48aaac2cd8544d6de9df0b1b33e70f729ac82a70?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6ehpqj4396Er3pFn3BEOmz","Más Allá Del Sol","Manuel Bonilla","Manuel Bonilla","2013-10-26","https://i.scdn.co/image/ab67616d0000b273bc95f6bdc426a938f1d96d40","https://p.scdn.co/mp3-preview/4c17ea258aa147eaa08d80915207bb83e0fc646c?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0asWVkzLh4S2n2ft9YJOUp","Star Spangled Man","The Captain America Drum Corps","Henry Jackman","2021-04-09","https://i.scdn.co/image/ab67616d0000b273225810691e1f5b13944c6570","https://p.scdn.co/mp3-preview/4fa0381996eb6e44a1663ae0e917aaec1571b452?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:79Iwb8D1mlLHzyrTzuA3cw","The End","Earl Grant","Earl Grant","1998-01-01","https://i.scdn.co/image/ab67616d0000b2737b7729417ee974373b61c8bb","https://p.scdn.co/mp3-preview/a891be7ddb29af48725ed5df87db80ff26be9ccf?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5KB72oRu0EZxSI2WvUdj3i","Más Allá Del Sol","Manuel Bonilla","Manuel Bonilla","2014-04-09","https://i.scdn.co/image/ab67616d0000b273594b136661c72cca33a98e14","https://p.scdn.co/mp3-preview/9040b6d32cb83a51c904859182c406ce0d92c398?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0Sc8AsDTBeZFWg8K9tMARE","My Way Of Life","Frank Sinatra","Frank Sinatra","1968-11","https://i.scdn.co/image/ab67616d0000b273a0209db6a0a102cae469d4f9","https://p.scdn.co/mp3-preview/a2e5b617c3eafab0a88c1bb4ba783398bd2f9283?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1v7KabGwnsTxKkNY1EHkts","Allahu","Sami Yusuf","Sami Yusuf","2005-01-01","https://i.scdn.co/image/ab67616d0000b2732ea81bf22747644a490327e9","https://p.scdn.co/mp3-preview/f283770b39f3c8ddf2e05d60f964f74eda81e95a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1Xlr8aWz4dOazeL7aC1uXp","Saat Saat Remix Version","Rayess Bek","Rayess Bek","2016-11-03","https://i.scdn.co/image/ab67616d0000b273cf28072750800e374ffe0448","https://p.scdn.co/mp3-preview/3c7a9ba672b7d88fb0479d02d6d84215b178bce1?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4ZkQIkmx8pA0rBsjr77nag","Alaap","Sunidhi Chauhan","Anu Malik","2001-06-27","https://i.scdn.co/image/ab67616d0000b27395ba73772d116191d149c186","https://p.scdn.co/mp3-preview/e2e85cd67e65498de828ef5981ca2eed22c202c4?cid=9950ac751e34487dbbe027c4fd7f8e99"
