"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:790TzR1UxBXVMFSGq8p7bv","Swan Song","spotify:artist:6cK3NBO6uP7hh0oyuVELFl, spotify:artist:2kxP07DLgs4xlWz8YHlvfh","Saweetie, NIKI","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","15","167586","https://p.scdn.co/mp3-preview/26856cf53f56082198444b4df04dbe3cb9c5bec4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USUM72113054","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:14gmLQPNYokqB8OKxAp69f","War With Heaven","spotify:artist:3pc0bOVB5whxmD50W79wwO","keshi","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","16","193373","https://p.scdn.co/mp3-preview/d39685764e8ba0c2282863d1ea994497eda3f840?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUM72114022","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:5BPtR7o6xDRRp1s2UkBjmb","Hot Soup","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:50cRZOl5AL13akHdLc7nfP","88rising, Simu Liu","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","17","187453","https://p.scdn.co/mp3-preview/c959888a733bc4dd32d5ec6f7ae744ad2fe0d60e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USUM72114070","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:4JfbAMCkYLAU3g5SPsDh42","Warriors","spotify:artist:4qcKNkdxUidhvUByB2eQ6g, spotify:artist:2bWTIIQP9zaVc55RaMGu7e","Warren Hue, Seori","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","18","239013","https://p.scdn.co/mp3-preview/c0a3621323fcec4577901f3b8c233978f216f91f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USUM72113056","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:5hslUAKq9I9CG2bAulFkHN","It's the Most Wonderful Time of the Year","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:4dcJHxlOJwtyypL7sx1qch","The Andy Williams Christmas Album","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","1963-11-24","https://i.scdn.co/image/ab67616d0000b27398073965947f92f1641b8356","1","4","151933","https://p.scdn.co/mp3-preview/853f441c5fc1b25ba88bb300c17119cde36da675?cid=9950ac751e34487dbbe027c4fd7f8e99","false","94","USSM16300086","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:24Z"
"spotify:track:4FCZen1CZUCQTYfKTPfPmL","Let's Call the Whole Thing Off","spotify:artist:4BtDAwCZhR6nPrJtbVgQNX, spotify:artist:2X9cM6kUDFCfEKcNEjlew2","Fred Astaire, Ginger Rogers","spotify:album:4Qckfe9XrLfn7rR5HP7oMM","Classics from American Film","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-01-28","https://i.scdn.co/image/ab67616d0000b2734fc87c0fc5dad651245e8bc4","1","32","190800","https://p.scdn.co/mp3-preview/ee0aa36d554ad88e5e4cb1db4fccef9c74bad0a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","GBSWE0700861","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:52Z"
"spotify:track:5W8HXMOMLtXLz0RGKUtnlZ","Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","spotify:artist:4utLUGcTvOJFr6aqIJtYWV, spotify:artist:6AgTAQt8XS6jRWi4sX7w49, spotify:artist:4AA474G2hRfrHyGrfyDseO, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Skylar Grey, Polo G, Mozzy, Eminem","spotify:album:2ZaFqYD9a3U6qJhyS2LDRf","Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]","spotify:artist:4utLUGcTvOJFr6aqIJtYWV, spotify:artist:6AgTAQt8XS6jRWi4sX7w49, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Skylar Grey, Polo G, Eminem","2021-09-30","https://i.scdn.co/image/ab67616d0000b27318b2c39fa740e2822d40d65b","1","1","257368","https://p.scdn.co/mp3-preview/3476297bf26347b7039fbab22444c4020b5e522e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUM72118408","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:57Z"
"spotify:track:1Jmqubf9kGkWeYQXQKImL5","People Are Strange","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:6v5IVMmY1IvWtbfnQoiFSf","Strange Days","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","1967-09-25","https://i.scdn.co/image/ab67616d0000b27386339e6cd71cc2a167451ee5","1","7","130173","https://p.scdn.co/mp3-preview/76f1624dd8ad1c3741cacbc8864746d734f92109?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USEE19900740","spotify:user:theofficialvelocifaptor","2021-12-19T09:32:02Z"
"spotify:track:2kfqZVhZYa1ny2ncjt4j5f","Nach Mera Hero","spotify:artist:42daDEQTdYaqtHG5sH5HMD","Celina Sharma","spotify:album:3qBn8Lw72Fs6zWyA7yFrMn","Eternals (Original Motion Picture Soundtrack)","spotify:artist:1hCkSJcXREhrodeIHQdav8","Ramin Djawadi","2021-11-03","https://i.scdn.co/image/ab67616d0000b273b8ffc252c4575933ee3baabd","1","20","189937","https://p.scdn.co/mp3-preview/f5aba082f0250365c6f3249ffdd31987fede0cf9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USHR12142571","spotify:user:theofficialvelocifaptor","2021-12-19T09:32:14Z"
"spotify:track:20DxKuNxo7N9dlj1LmDjDK","We Wish You a Merry Christmas","spotify:artist:1DYAjTk66dQIOTdRx0Bl5q, spotify:artist:4IijeuGg0fXeVT7K7dltDW","The Craig Gildner Sextet, Tony Liberto","spotify:album:1RxXj8wzPeIy9H2Ir1wDc4","The Christmas I Remember: Crooner Holiday Favorites","spotify:artist:1DYAjTk66dQIOTdRx0Bl5q","The Craig Gildner Sextet","2016-12-06","https://i.scdn.co/image/ab67616d0000b2731125710e41886f3f0eb381b7","1","1","227008","https://p.scdn.co/mp3-preview/431092c1fe01c6ca9ffe8a0d8dc0ff20d908b1c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","US3DF1634913","spotify:user:theofficialvelocifaptor","2021-12-19T09:32:19Z"
