"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:5an59fTKzNi0OiWYSR8O5p","Peter and Mayday Parker","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/f461b46eaafbdf7897b630a5224a68256e4c8745?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:26hFmOWmzITcdXziJ2Rcgz","Canon Event","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/04af0aba93b3f5bdd8a44371c9463daf7801b5b4?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5swknVOdjJ7z6EZyoDW8qe","All Stations - Stop Spider-Man","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/eeb2e53ef293de2b30477ab61bc8ff00d5a590d7?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7nUA9R4Ge01FEHpjyPAZie","Hold the Baby","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/93e2c117cefb2dd3a6ca9c047a1ddf425852e181?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:34ZrUENGT9Jx9dfX6d2LEm","Nueva York Train Chase","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/eff95006cda774339e20ba51c07e49239a35f265?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6oV1PXd55Fhn8jwUABxxTi","The Go Home Machine","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/ba092a95ee33d9b4fbe3e576a9ad765cff488c50?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4cgImKM0Y7QBpwZsgqTqbf","Falling Apart","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/b478827762190176ded8e695d7f4066b759addc4?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6oE9ZtFkWBjqy2mi98CRPQ","I Beat Them All","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/61b285285562fe2bfc8f693befd3ac8d81048dba?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5VMGNDS27YdYpNu55Nja5O","The Anomaly","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/324ee37bbc6d1794bb7962fc7b671318843a7999?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6NvwIN5wmJbOtvySRf2XiP","Five Months","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/c48b8447d11f5cd88fd5111fc5ea0fbff3d03793?cid=9950ac751e34487dbbe027c4fd7f8e99"
